Bill_ID,Title,Date Introduced,Category,House,Status
The_Central_Excise_Amendment_Bill_2025,The Central Excise Amendment Bill 2025,17-Feb-2026,Finance,Lok Sabha,Passed
The_Constitution_130th_Amendment_Bill_2025_Removal_of_Ministers_upon_Detention,The Constitution 130th Amendment Bill 2025,17-Feb-2026,Law and Justice,Rajya Sabha,Pending
The_Draft_Electricity_Amendment_Bill_2025,The Draft Electricity Amendment Bill 2025,17-Feb-2026,Power,Lok Sabha,Draft
The_Repealing_and_Amending_Bill_2025,The Repealing and Amending Bill 2025,17-Feb-2026,Law and Justice,Lok Sabha,Passed
The_Manipur_Goods_and_Services_Tax_Second_Amendment_Bill_2025,The Manipur Goods and Services Tax Second Amendment Bill 2025,17-Feb-2026,Finance,Lok Sabha,Pending
